timestamp,encoderLSpeed,encoderRSpeed,RControl
1755262021160,0.000000,44.219997,-41538389723559092452807269423251456.000000
1755262021163,-44.219997,0.000000,-41538389723559092452807269423251456.000000
1755262021168,0.000000,44.219997,-41538389723559092452807269423251456.000000
1755262021168,-44.219997,0.000000,-41538384771798935311286169826754560.000000
1755262021168,0.000000,0.000000,32768.007813
1755262021172,-44.219997,44.219997,32768.003906
1755262021172,0.000000,0.000000,32768.003906
1755262021176,-44.219997,44.219997,32768.003906
1755262021176,0.000000,0.000000,32768.000000
1755262021180,-44.219997,44.219997,-0.000000
1755262021180,0.000000,0.000000,-0.000000
1755262021183,0.000000,0.000000,-0.000000
1755262021187,0.000000,44.219997,-0.000000
1755262021188,-44.219997,0.000000,-0.000000
1755262021191,0.000000,0.000000,2199023255552.000000
1755262021191,-44.219997,0.000000,2199023255552.000000
1755262021195,0.000000,44.219997,2199023255552.000000
1755262021195,0.000000,0.000000,2199023255552.000000
1755262021198,0.000000,0.000000,2199023517696.000000
1755262021198,-44.219997,0.000000,9007201402224640.000000
1755262021202,0.000000,44.219997,9007202475966464.000000
1755262021205,0.000000,0.000000,9007201402224640.000000
1755262021205,0.000000,0.000000,9007202475966464.000000
1755262021210,-44.219997,0.000000,9007203549708288.000000
1755262021210,0.000000,44.219997,-32.000011
1755262021213,0.000000,0.000000,-32.000008
1755262021213,0.000000,0.000000,-32.000011
1755262021218,0.000000,44.219997,-32.000015
1755262021218,0.000000,0.000000,-32.000011
1755262021221,-44.219997,44.219997,2147484160.000000
1755262021221,0.000000,0.000000,2147484160.000000
1755262021226,0.000000,44.219997,2147484160.000000
1755262021226,0.000000,0.000000,2147483904.000000
1755262021230,0.000000,44.219997,2147483648.000000
1755262021230,-44.219997,0.000000,0.000000
1755262021233,0.000000,0.000000,0.000000
1755262021237,0.000000,44.219997,0.000000
1755262021237,0.000000,0.000000,0.000000
1755262021240,0.000000,0.000000,0.000000
1755262021241,-44.219997,44.219997,0.000000
1755262021245,0.000000,0.000000,0.000000
1755262021245,0.000000,0.000000,0.000000
1755262021248,-44.219997,0.000000,0.000000
1755262021248,0.000000,44.219997,0.000000
1755262021252,0.000000,0.000000,-9223374235878031360.000000
1755262021257,-44.219997,0.000000,-9223374235878031360.000000
1755262021258,-44.219997,0.000000,-9223375335389659136.000000
1755262021258,0.000000,44.219997,-9223375335389659136.000000
1755262021261,-44.219997,0.000000,-9223374235878031360.000000
1755262021261,0.000000,0.000000,-0.000000
1755262021264,-44.219997,0.000000,-0.000000
1755262021264,0.000000,44.219997,-0.000000
1755262021269,-44.219997,0.000000,-0.000000
1755262021269,-44.219997,0.000000,-0.000000
1755262021274,0.000000,0.000000,2535301804919368610307993763840.000000
1755262021274,0.000000,44.219997,2535301804919368610307993763840.000000
1755262021275,-44.219997,0.000000,2535301200456458802993406410752.000000
1755262021279,0.000000,0.000000,2535301502687913706650700087296.000000
1755262021279,-44.219997,0.000000,2535301804919368610307993763840.000000
1755262021283,0.000000,44.219997,32768.003906
1755262021283,0.000000,0.000000,32768.000000
1755262021287,0.000000,0.000000,32768.003906
1755262021291,0.000000,0.000000,32768.007813
1755262021291,0.000000,0.000000,32768.007813
1755262021294,0.000000,0.000000,-0.000000
1755262021294,0.000000,44.219997,-0.000000
1755262021298,0.000000,0.000000,-0.000000
1755262021298,0.000000,0.000000,-0.000000
1755262021302,0.000000,0.000000,-0.000000
1755262021302,0.000000,0.000000,-0.000000
1755262021305,0.000000,44.219997,-0.000000
1755262021306,0.000000,0.000000,-0.000000
1755262021309,0.000000,0.000000,-0.000000
1755262021310,0.000000,44.219997,-0.000000
1755262021313,0.000000,0.000000,-0.000000
1755262021316,0.000000,0.000000,-0.000000
1755262021316,-44.219997,44.219997,-0.000000
1755262021320,0.000000,0.000000,-0.000000
1755262021320,0.000000,44.219997,-0.000000
1755262021324,0.000000,0.000000,0.000000
1755262021324,-44.219997,0.000000,0.000000
1755262021328,0.000000,44.219997,0.000000
1755262021331,0.000000,0.000000,0.000000
1755262021331,-44.219997,0.000000,0.000000
1755262021335,0.000000,44.219997,0.000000
1755262021335,0.000000,0.000000,0.000000
1755262021339,-44.219997,44.219997,0.000000
1755262021339,0.000000,0.000000,0.000000
1755262021342,-44.219997,44.219997,0.000000
